epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,333.605,0.52413,0.73091,1.06912,0.97506,0.59172,0.71014,0.643,0.55334,0.59172,0.71014,0.64633,0.57793,0.58597,0.77283,1.13476,1.12914,0.00101075,0.00101075,0.00101075
31,342.545,0.55717,0.81931,1.0794,0.9973,0.51607,0.77879,0.63763,0.55583,0.51607,0.77879,0.63763,0.55882,0.59193,0.86451,1.14251,1.14987,0.0010025,0.0010025,0.0010025
32,351.521,0.56253,0.70812,1.00447,0.9941,0.5727,0.66305,0.62945,0.54198,0.5727,0.66305,0.63141,0.55596,0.59652,0.78712,1.1195,1.18236,0.00099425,0.00099425,0.00099425
33,360.511,0.54525,0.75714,0.97132,0.97824,0.51733,0.85602,0.64144,0.56327,0.51733,0.85602,0.64752,0.57944,0.61453,0.86913,1.0291,1.20483,0.000986,0.000986,0.000986
34,369.507,0.52508,0.71813,0.94604,0.98332,0.44928,0.67958,0.596,0.52893,0.44928,0.67958,0.59751,0.53876,0.54942,0.8778,1.21104,1.15312,0.00097775,0.00097775,0.00097775
35,378.47,0.52716,0.74349,0.9795,0.97958,0.47102,0.6012,0.5416,0.47222,0.47102,0.6012,0.5416,0.48617,0.53552,0.81695,1.23462,1.12354,0.0009695,0.0009695,0.0009695
36,387.438,0.53325,0.74638,0.96007,0.99245,0.52208,0.68488,0.61459,0.53308,0.52208,0.68488,0.61459,0.552,0.55613,0.88982,1.03386,1.10651,0.00096125,0.00096125,0.00096125
37,396.428,0.51402,0.66925,0.9524,0.9949,0.57568,0.6607,0.62042,0.53731,0.57568,0.6607,0.62109,0.55011,0.5552,0.84059,1.10513,1.13712,0.000953,0.000953,0.000953
38,405.483,0.51357,0.65767,0.90122,0.97299,0.45231,0.73575,0.59021,0.51207,0.45231,0.73575,0.59213,0.53768,0.57551,0.92087,1.17341,1.14503,0.00094475,0.00094475,0.00094475
39,414.396,0.52274,0.65753,0.94414,0.98257,0.54869,0.70533,0.64399,0.55654,0.54869,0.70533,0.64309,0.57249,0.54592,0.8719,1.07729,1.11227,0.0009365,0.0009365,0.0009365
