epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1411.52,0.61068,0.76222,0.69207,1.03711,0.76432,0.80786,0.83965,0.71198,0.76432,0.80786,0.83657,0.72868,0.5766,0.68144,0.66294,1.0928,0.00107056,0.00107056,0.00107056
31,1446.66,0.62798,0.76639,0.7025,1.05672,0.76998,0.83439,0.84285,0.71944,0.76794,0.83184,0.83752,0.73933,0.58666,0.601,0.60594,1.09365,0.00106437,0.00106437,0.00106437
32,1481.78,0.62705,0.74939,0.69568,1.0541,0.81625,0.80423,0.85331,0.74714,0.81423,0.80168,0.84626,0.74962,0.53721,0.75441,0.59491,1.06054,0.00105819,0.00105819,0.00105819
33,1516.9,0.61574,0.76829,0.69463,1.03889,0.79747,0.7822,0.84496,0.73541,0.79747,0.7822,0.84229,0.74856,0.57111,0.65977,0.61905,1.09787,0.001052,0.001052,0.001052
34,1552.29,0.62449,0.77746,0.70831,1.05519,0.79758,0.80143,0.85011,0.74248,0.79758,0.80143,0.84733,0.73643,0.53167,0.6841,0.60093,1.05859,0.00104581,0.00104581,0.00104581
35,1587.53,0.61242,0.75664,0.68343,1.04295,0.79653,0.81299,0.85915,0.73846,0.79653,0.81299,0.85492,0.76209,0.56191,0.62177,0.63431,1.07041,0.00103962,0.00103962,0.00103962
36,1622.87,0.60423,0.73082,0.66887,1.02811,0.74427,0.82233,0.85234,0.73834,0.74521,0.82177,0.84722,0.75106,0.55071,0.65017,0.60655,1.06115,0.00103344,0.00103344,0.00103344
37,1658.99,0.59956,0.72464,0.65849,1.03366,0.77413,0.80815,0.85533,0.73042,0.77413,0.80815,0.84866,0.73935,0.55992,0.73598,0.60783,1.07286,0.00102725,0.00102725,0.00102725
38,1694.16,0.60016,0.71621,0.64582,1.03524,0.82114,0.77092,0.85797,0.73781,0.82114,0.77092,0.85114,0.75926,0.55783,0.6523,0.59099,1.07075,0.00102106,0.00102106,0.00102106
39,1729.45,0.60633,0.7353,0.65472,1.03449,0.8193,0.76363,0.8616,0.72807,0.8259,0.76135,0.85626,0.76459,0.59812,0.64747,0.59763,1.09968,0.00101488,0.00101488,0.00101488
40,1764.92,0.59664,0.74955,0.63601,1.03628,0.74076,0.81428,0.83148,0.7211,0.73861,0.81173,0.8262,0.73403,0.53812,0.64731,0.6227,1.06712,0.00100869,0.00100869,0.00100869
41,1800.57,0.60014,0.73712,0.66152,1.04507,0.82037,0.79955,0.85139,0.74153,0.82037,0.79955,0.84736,0.75871,0.54439,0.71977,0.6196,1.06465,0.0010025,0.0010025,0.0010025
